"word" "definition"
"걸다" "벽이나 못 따위에 어떤 물체를 떨어지지 않도록 매달아 올려놓다."
"걸다" "자물쇠, 문고리를 채우거나 빗장을 지르다."
"걸다" "솥이나 냄비 따위를 이용할 수 있도록 준비하여 놓다."
"걸다" "기계 따위가 작동하도록 준비하여 놓다."
"걸다" "어느 단체에 속한다고 이름을 내세우다."
"걸다" "기계 장치가 작동되도록 하다."
"걸다" "다른 사람이나 문제 따위가 관련이 있음을 주장하다."
"걸다" "돈 따위를 계약이나 내기의 담보로 삼다."
"걸다" "의논이나 토의의 대상으로 삼다."
"걸다" "어떤 상태에 빠지도록 하다."
"걸다" "앞으로의 일에 대한 희망 따위를 품거나 기대하다."
"걸다" "목숨, 명예 따위를 담보로 삼거나 희생할 각오를 하다."
"걸다" "다른 사람을 향해 먼저 어떤 행동을 하다."
"걸다" "전화를 하다."
"걸다" "긴급하게 명령하거나 요청하다."
"걸다" "다리나 발 또는 도구 따위를 이용하여 상대편을 넘어뜨리려는 동작을 하다. "
