"word" "definition"
"팔아-먹다" "값을 받고 어떤 물건의 소유권을 다른 사람에게 넘겨 버리다."
"팔아-먹다" "정신을 다른 대상으로 돌리다."
"팔아-먹다" "(낮잡는 뜻으로) 돈을 마련하기 위하여 자식을 적당하지 아니한 곳에 보내다."
"팔아-먹다" "주로 여자를 대상으로 하여 돈을 받고 윤락가나 그 업을 하는 사람에게 넘기다. 또는 사람을 돈을 받고 물건처럼 거래하다."
"팔아-먹다" "돈을 마련하기 위하여 자식을 민며느릿감이나 데릴사윗감으로 보내다. 또는 어느 곳에서 일하게 하다."
"팔아-먹다" "돈을 받고 노력 혹은 노동력을 제공하다."
"팔아-먹다" "여자가 돈을 받고 남자에게 몸을 허락하다."
"팔아-먹다" "어떤 이득을 얻기 위하여 지조, 양심 따위를 내버리거나 잃어버리다."
"팔아-먹다" "자신의 이익을 위하여 남의 힘을 빌려 의지하다."
"팔아-먹다" "부당한 이익을 얻기 위하여 속이거나 배반하다."
"팔아-먹다" "(낮잡는 뜻으로) 특정한 목적을 위하여 어떤 말을 자주 하다."
"팔아-먹다" "시간을 값어치 없이 낭비하다."
"팔아-먹다" "값을 주고 곡식을 사다. "
