"word" "definition"
"가지다" "손이나 몸 따위에 있게 하다."
"가지다" "자기 것으로 하다."
"가지다" "직업, 자격증 따위를 소유하다. "
"가지다" "((모임을 나타내는 말과 함께 쓰여))모임을 치르다."
"가지다" "아이나 새끼, 알을 배 속에 지니다."
"가지다" "거느리거나 모시거나 두다."
"가지다" "((‘가지고’ 꼴로 쓰여))앞에 오는 말이 수단이나 방법이 됨을 강조하여 나타낸다."
"가지다" "((‘가지고’ 꼴로 쓰여))앞에 오는 말이 대상이 됨을 강조하여 나타낸다."
"가지다" "생각, 태도, 사상 따위를 마음에 품다."
"가지다" "((‘…과’가 나타나지 않을 때는 여럿임을 뜻하는 말이 주어로 온다))((‘관련’을 뜻하는 말과 함께 쓰여))"
"가지다" "관계를 맺다."
"가지다" "((동사나 형용사 뒤에서 ‘-어 가지고’ 구성으로 쓰여))"
"가지다" "앞말이 뜻하는 행동의 결과나 상태가 그대로 유지되거나, 또는 그럼으로써 뒷말의 행동이나 상태가 유발되거나 가능하게 됨을 나타내는 말."
