"word" "definition"
"-ㄹ세" "((‘이다’, ‘아니다’의 어간 뒤에 붙어))"
"-ㄹ세" "하게할 자리에 쓰여, 자기의 생각을 설명하는 데 쓰이는 종결 어미. 뒤에는 보조사 ‘그려’가 붙을 수 있다."
"-ㄹ세" "하게할 자리에 쓰여, 무엇을 새롭게 깨달았다는 감탄의 뜻을 나타내는 종결 어미."
