"word" "definition"
"박-히다" "‘박다01[1]「1」’의 피동사."
"박-히다" "‘박다01[1]「2」’의 피동사."
"박-히다" "‘박다01[1]「3」’의 피동사."
"박-히다" "‘박다01[1]「6」’의 피동사."
"박-히다" "((흔히 ‘눈길’, ‘눈’ 따위와 함께 쓰여))‘박다01[1]「7」’의 피동사."
"박-히다" "‘박다01[1]「8」’의 피동사."
"박-히다" "‘박다01[1]「10」’의 피동사."
"박-히다" "‘박다01[1]「11」’의 피동사."
"박-히다" "사람이 한곳에 들어앉아 나가지 아니하는 상태를 계속하다."
"박-히다" "어떤 모습이 머릿속이나 마음속에 인상 깊이 새겨지다."
"박-히다" "머릿속에 어떤 사상이나 이념 따위가 깊이 자리 잡다."
"박-히다" "((주로 ‘틀’, ‘판’과 함께 쓰여))행동이나 생활이 딱딱하게 느껴질 정도로 규격화되다."
"박-히다" "점이나 주근깨 따위가 자리 잡다."
"박-히다" "‘박다01[3]’의 피동사.  "
