"word" "definition"
"-사오리다" "((받침 있는 용언의 어간이나 어미 ‘-었-’, ‘-겠-’ 뒤에 붙어))"
"-사오리다" "합쇼할 자리에 쓰여, 동작이나 상태에 대한 추측이나 견해를 나타내는 종결 어미."
"-사오리다" "합쇼할 자리에 쓰여, 자신의 의향이나 약속을 나타내는 종결 어미."
