"word" "definition"
"나" "((받침 없는 체언이나 부사어, 연결 어미 ‘-아, -게, -지, -고’, 합성 동사의 선행 요소 따위의 뒤에 붙어))마음에 차지 아니하는 선택, 또는 최소한 허용되어야 할 선택이라는 뜻을 나타내는 보조사. 때로는 가장 좋은 것을 선택하면서 마치 그것이 마음에 차지 않는 선택인 것처럼 표현하는 데 쓰기도 한다."
"나" "((받침 없는 체언이나 부사어 뒤에 붙어))마치 현실의 것인 양 가정된 가장 좋은 선택이라는 뜻을 나타내는 보조사. 빈정거리는 뜻이 드러난다."
"나" "((받침 없는 체언이나 부사어 뒤에 붙어))어떤 대상이 최선의 자격 또는 조건이 됨을 뜻하는 보조사."
"나" "((수량이나 정도를 나타내는, 받침 없는 체언이나 부사어 뒤에 붙어))수량이 크거나 많음, 또는 정도가 높음을 강조하는 보조사. 흔히 놀람의 뜻이 수반된다."
"나" "((수량의 단위나 정도를 나타내는, 받침 없는 체언이나 부사어 뒤에 붙어))수량이나 정도를 어림잡는 뜻을 나타내는 보조사."
"나" "((수량의 단위나 정도를 나타내는, 받침 없는 말 뒤에 붙어))많지는 아니하나 어느 정도는 됨을 나타내는 보조사."
"나" "((종결 어미 ‘-다’, ‘-ㄴ다’, ‘-는다’, ‘-라’ 따위에 붙어))화자가 인용하는 사람이 되는 간접 인용절에서 인용되는 내용에 스스로 가벼운 의문을 가진다든가 인용하는 사람은 그 내용에 별 관심이 없다는 뜻을 나타내는 보조사. 흔히 빈정거리는 태도나 가벼운 불만을 나타낸다. 인용자와 인용 동사는 생략될 때가 많다."
"나" "((받침 없는 체언이나 부사어 뒤에 붙어))여러 가지 중에서 어느 것을 선택하여도 상관없음을 나타내는 보조사. 맨 뒤에 나열되는 말에는 붙지 않을 때도 있다."
"나" "비교의 뜻을 나타내는 보조사. 뒤 절에는 결국 같다는 뜻을 가진 말이 온다."
"나" "((받침 없는 체언이나 부사어 뒤에 붙어))"
"나" "둘 이상의 사물을 같은 자격으로 이어 주는 접속 조사. 나열되는 사물 중 하나만이 선택됨을 나타낸다."
