"word" "definition"
"놓다" "손으로 무엇을 쥐거나 잡거나 누르고 있는 상태에서 손을 펴거나 힘을 빼서 잡고 있던 물건이 손 밖으로 빠져나가게 하다."
"놓다" "계속해 오던 일을 그만두고 하지 아니하다."
"놓다" "걱정이나 근심, 긴장 따위를 잊거나 풀어 없애다."
"놓다" "노름이나 내기에서 돈을 걸다."
"놓다" "((‘…을 놓고’ 구성으로 쓰여))논의의 대상으로 삼다."
"놓다" "수판이나 산가지 따위를 이용하여 셈을 하다."
"놓다" "빨리 가도록 힘을 더하다."
"놓다" "((주로 ‘병’,  ‘병줄’과 함께 쓰여))병에서 벗어나 몸이 회복되다. "
"놓다" "잡거나 쥐고 있던 물체를 일정한 곳에 두다."
"놓다" "일정한 곳에 기계나 장치, 구조물 따위를 설치하다."
"놓다" "짐승이나 물고기를 잡기 위하여 일정한 곳에 무엇을 장치하다."
"놓다" "무늬나 수를 새기다."
"놓다" "불을 지르거나 피우다."
"놓다" "옷이나 이불, 방석 따위를 꾸밀 때 속에 솜이나 털과 같은 내용물을 넣다."
"놓다" "주되는 음식에 다른 것을 섞어 한 음식으로 만들다."
"놓다" "심어서 가꾸거나 키우다."
"놓다" "수에 수를 보태다."
"놓다" "어떤 목적을 위하여 사람이나 짐승을 내보내다."
"놓다" "치료를 위하여 주사나 침을 찌르다."
"놓다" "상대에게 어떤 행동을 하다."
"놓다" "집이나 돈, 쌀 따위를 세나 이자를 받고 빌려주다."
"놓다" "값을 셈하여 매기다."
"놓다" "장기나 바둑에서 돌이나 말을 두다."
"놓다" "총이나 대포를 쏘다."
"놓다" "어떠한 내용을 편지 따위를 통하여 알리다."
"놓다" "【(…과) …을】((‘말을 놓다’ 구성으로 쓰여))((‘…과’가 나타나지 않을 때는 여럿임을 뜻하는 말이 주어로 온다))말을 존대하지 않고 맞상대하거나 낮춰서 말하다."
"놓다" "기계 장치를 조작하여 원하는 상태가 되게 하다."
"놓다" "((동사 뒤에서 ‘-어 놓다’ 구성으로 쓰여)) 앞말이 뜻하는 행동을 끝내고 그 결과를 유지함을 나타내는 말."
"놓다" "((형용사나 ‘이다’ 뒤에서 ‘-어 놓다’ 구성으로 쓰여)) 앞말이 뜻하는 상태의 지속을 강조하는 말. 주로 뒷말의 내용에 대한 이유나 원인을 말할 때 쓰인다."
