"word" "definition"
"쪽-쪽" "작은 줄이나 금을 잇따라 곧게 내긋는 모양. ‘족족02「1」’보다 센 느낌을 준다."
"쪽-쪽" "작은 것이 잇따라 고르게 늘어서거나 가지런히 벌여 있는 모양. ‘족족02「2」’보다 센 느낌을 준다."
"쪽-쪽" "여럿이 한 줄로 끊어지지 아니하고 이어지는 모양. ‘족족02「3」’보다 센 느낌을 준다."
"쪽-쪽" "작은 종이나 천 따위를 여러 가닥으로 잇따라 찢거나 훑는 모양. ‘족족02「4」’보다 센 느낌을 준다."
"쪽-쪽" "적은 양의 액체를 잇따라 단숨에 들이마시는 모양. ‘족족02「5」’보다 센 느낌을 준다."
"쪽-쪽" "잇따라 입으로 힘차게 빠는 소리. 또는 그 모양. ‘족족02「6」’보다 센 느낌을 준다."
"쪽-쪽" "거침없이 잇따라 내리읽거나 외거나 말하는 모양. ‘족족02「7」’보다 센 느낌을 준다."
"쪽-쪽" "작은 것을 잇따라 곧게 펴거나 벌리는 모양. ‘족족02「8」’보다 센 느낌을 준다."
"쪽-쪽" "소름이나 땀이 잇따라 돋거나 나는 모양. ‘족족02「9」’보다 센 느낌을 준다."
"쪽-쪽" "작은 것이 잇따라 갈라지거나 벗겨지는 모양."
"쪽-쪽" "속에 들어 있는 액체가 모조리 잇따라 자꾸 빠지는 모양."
"쪽-쪽" "살이 잇따라 홀쭉하게 빠지는 모양."
"쪽-쪽" "입맞춤을 잇따라 하는 소리."
