"word" "definition"
"시간" "어떤 시각에서 어떤 시각까지의 사이."
"시간" "=시각03(時刻)「1」."
"시간" "어떤 행동을 할 틈."
"시간" "어떤 일을 하기로 정하여진 동안."
"시간" "때의 흐름."
"시간" "『물리』지구의 자전 주기를 재서 얻은 단위. 이론적으로 고전 물리학에서는 공간에서 독립한 변수 곧 절대 시간으로 다루어졌으나, 아인슈타인의 상대성 원리에서는 양자가 물리적 사건을 매개로 하여 사차원의 시공 세계를 형성하는 것으로 다루고 있다."
"시간" "『불교』색(色)과 심(心)이 합한 경계."
"시간" "『심리』전후(前後), 동시(同時), 계속의 장단(長短)에 관한 의식(意識)."
"시간" "『철학』과거로부터 현재와 미래로 무한히 연속되는 것. 곧 사물의 현상이나 운동, 발전의 계기성과 지속성을 규정하는 객관적인 존재 형식을 말한다."
"시간" "『북한어』『언어』‘시제03(時制)’의 북한어."
"시간" "하루의 24분의 1이 되는 동안을 세는 단위."
