"word" "definition"
"서다" "사람이나 동물이 발을 땅에 대고 다리를 쭉 뻗으며 몸을 곧게 하다."
"서다" "처져 있던 것이 똑바로 위를 향하여 곧게 되다."
"서다" "계획, 결심, 자신감 따위가 마음속에 이루어지다."
"서다" "무딘 것이 날카롭게 되다."
"서다" "질서나 체계, 규율 따위가 올바르게 있게 되거나 짜이다."
"서다" "아이가 배 속에 생기다."
"서다" "줄이나 주름 따위가 두드러지게 생기다."
"서다" "물품을 생산하는 기계 따위가 작동이 멈추다."
"서다" "남자의 성기가 발기되다."
"서다" "부피를 가진 어떤 물체가 땅 위에 수직의 상태로 있게 되다."
"서다" "나라나 기관 따위가 처음으로 이루어지다."
"서다" "어떤 곳에서 다른 곳으로 가던 대상이 어느 한 곳에서 멈추다."
"서다" "사람이 어떤 위치나 처지에 있게 되거나 놓이다."
"서다" "장이나 씨름판 따위가 열리다."
"서다" "어떤 모양이나 현상이 이루어져 나타나다."
"서다" "체면 따위가 바로 유지되다."
"서다" "어떤 역할을 맡아서 하다."
"서다" "줄을 짓다."
"서다" "『북한어』문제 따위가 설정되거나 나서다."
