"word" "definition"
"검사-국" "조선 후기에, 법부(法部)에 속하여 검찰 업무를 맡아보던 관청. 고종 32년(1895)에 두었다가 광무 3년(1899)에 폐지하였다."
"검사-국" "대한 제국 때에, 원수부에 속하여 군(軍) 관계의 검사 일을 맡아보던 관청. 광무 3년(1899)에 두었다가 광무 8년(1904)에 폐지하였다."
"검사-국" "대한 제국 때에, 탁지부에 속하여 회계 검사에 관한 일을 맡아보던 관청. 광무 10년(1906)에 두었다가 융희 원년(1907)에 폐지하였다. "
