"word" "definition"
"받다" "((‘…에서/에게서’ 대신에 ‘…으로부터’가 쓰이기도 한다))"
"받다" "다른 사람이 주거나 보내오는 물건 따위를 가지다."
"받다" "다른 사람이 바치거나 내는 돈이나 물건을 책임 아래 맡아 두다."
"받다" "다른 사람이나 대상이 가하는 행동, 심리적인 작용 따위를 당하거나 입다."
"받다" "점수나 학위 따위를 따다."
"받다" "여러 사람에게 팔거나 대어 주기 위해 한꺼번에 많은 양의 물품을 사다."
"받다" "공중에서 밑으로 떨어지거나 자기 쪽으로 향해 오는 것을 잡다."
"받다" "어떤 상황이 자기에게 미치다."
"받다" "빛, 볕, 열이나 바람 따위의 기운이 닿다."
"받다" "요구, 신청, 질문, 공격, 도전, 신호 따위의 작용을 당하거나 거기에 응하다."
"받다" "((‘-어 주다’와 함께 쓰여))다른 사람의 어리광, 주정 따위에 무조건 응하다."
"받다" "사람을 맞아들이다."
"받다" "총이나 칼 따위를 맞다."
"받다" "남의 노래, 말 따위에 응하여 뒤를 잇다."
"받다" "태어나는 아이를 거두다."
"받다" "동식물의 씨나 알 따위를 거두어 내다."
"받다" "술 따위를 사다."
"받다" "떨어진 버선이나 신 따위를 덧대어 깁다."
"받다" "흐르거나 쏟아지거나 하는 것을 그릇 따위에 담기게 하다."
"받다" "색깔이나 모양이 어떤 것에 어울리다."
"받다" "【…에서】음식물 따위가 비위에 맞다."
"받다" "화장품 따위가 곱게 잘 발린다."
"받다" "사진이 더 잘 나오는 특성이 있다."
"받다" "『북한어』계획, 결정, 지령 따위를 정식으로 확정하여 처리하다."
