"word" "definition"
"패들링" "카누에서, 패들로 저어 나가는 일."
"패들링" "보트에서, 모양새에 주의하며 힘을 세게 넣지 않고 노를 젓는 일."
"패들링" "파도타기에서, 양손으로 물을 저어 널빤지를 전진시키는 일. "
