"word" "definition"
"맞추다" "((‘…과’가 나타나지 않을 때는 여럿임을 뜻하는 말이 목적어로 온다))"
"맞추다" "서로 떨어져 있는 부분을 제자리에 맞게 대어 붙이다."
"맞추다" "((‘…과’가 나타나지 않을 때는 여럿임을 뜻하는 말이 주어나 목적어로 온다))"
"맞추다" "((주로 ‘보다’와 함께 쓰여))둘 이상의 일정한 대상들을 나란히 놓고 비교하여 살피다."
"맞추다" "서로 어긋남이 없이 조화를 이루다."
"맞추다" "어떤 기준이나 정도에 어긋나지 아니하게 하다."
"맞추다" "어떤 기준에 틀리거나 어긋남이 없이 조정하다."
"맞추다" "일정한 수량이 되게 하다."
"맞추다" "열이나 차례 따위에 똑바르게 하다."
"맞추다" "다른 사람의 의도나 의향 따위에 맞게 행동하다."
"맞추다" "약속 시간 따위를 넘기지 아니하다."
"맞추다" "일정한 규격의 물건을 만들도록 미리 주문을 하다."
"맞추다" "((‘…과’가 나타나지 않을 때는 여럿임을 뜻하는 말이 주어로 온다))"
"맞추다" "다른 어떤 대상에 닿게 하다.  "
