"word" "definition"
"이화-하다" "성질, 양식, 사상 따위가 서로 달라지다."
"이화-하다" "『심리』두 개의 감각 자극을 공간적 또는 시간적으로 접근시켜 배치할 때, 양자(兩者)의 질적, 양적 차이가 한층 커지다."
"이화-하다" "『언어』서로 같거나 비슷한 소리의 하나가 다른 소리로 바뀌다. 중세 국어의 ‘붚’, ‘거붑’이 현대 국어의 ‘북’, ‘거북’으로 바뀐 일 따위이다."
