"word" "definition"
"팔난" "여덟 가지의 괴로움이나 어려움. 배고픔, 목마름, 추위, 더위, 물, 불, 칼, 병란(兵亂)을 이른다."
"팔난" "『불교』부처를 보지 못하고 불법을 듣지 못하는 여덟 가지의 장애와 어려움. 재지옥(在地獄), 재아귀(在餓鬼), 재축생(在畜生), 재장수천(在長壽天), 재울단월(在鬱單越), 맹롱음아(盲聾瘖瘂), 세지변총(世智辯聰), 불전불후(佛前佛後)의 어려움이다."
"팔난" "『불교』수계(受戒) 따위를 행할 때에 줄여서 간단히 함을 허락하는 여덟 가지의 어려운 일. 왕난(王難), 적난(賊難), 화난(火難), 수난(水難), 병난(病難), 인난(人難), 비인난(非人難), 독충난(毒蟲難)이다."
