"word" "definition"
"도-승지" "고려 시대에, 광정원에 속한 종오품 벼슬."
"도-승지" "조선 전기에, 중추원에 속한 정삼품 벼슬."
"도-승지" "조선 시대에 둔, 승정원의 으뜸 벼슬. 왕명을 전달하거나 신하들이 왕에게 올리는 글을 상달하는 일을 맡아보았다. ≒도도령ㆍ도령04(都令)「2」."
