"word" "definition"
"붙다" "맞닿아 떨어지지 아니하다."
"붙다" "시험 따위에 합격하다."
"붙다" "불이 옮아 타기 시작하다."
"붙다" "어떤 일에 나서다. 또는 어떤 일에 매달리다."
"붙다" "시설이 딸려 있다."
"붙다" "조건, 이유, 구실 따위가 따르다."
"붙다" "식물이 뿌리가 내려 살다."
"붙다" "어떤 장소에 오래 머무르다. 또는 어떤 판에 끼어들다."
"붙다" "주가 되는 것에 달리거나 딸리다."
"붙다" "【(…과)】((‘…과’가 나타나지 않을 때는 여럿임을 뜻하는 말이 주어로 온다))물체와 물체 또는 사람이 서로 바짝 가까이하다."
"붙다" "생활을 남에게 기대다."
"붙다" "바로 옆에서 돌보다."
"붙다" "어떤 놀이나 일, 단체 따위에 참여하다. "
"붙다" "【…으로】좇아서 따르다."
"붙다" "귀신 따위가 옮아 들어 작용하다."
"붙다" "실력 따위가 더 생겨 늘다."
"붙다" "어떤 것이 더해지거나 생겨나다."
"붙다" "목숨이나 생명 따위가 끊어지지 않고 있다."
"붙다" "이름이 생기다."
"붙다" "((‘…과’가 나타나지 않을 때는 여럿임을 뜻하는 말이 주어로 온다))"
"붙다" "겨루는 일 따위가 서로 어울려 시작되다."
"붙다" "【…에/에게 …이】어떤 감정이나 감각이 생겨나다."
"붙다" "((‘…과’가 나타나지 않을 때는 여럿임을 뜻하는 말이 주어로 온다))"
"붙다" "암컷과 수컷이 교합하다."
"붙다" "(속되게) 남녀가 가까이 지내거나 성교(性交)하다."
"붙다" "『북한어』어떤 부류에 속하다."
"붙다" "『북한어』일에서 좋은 기회나 조건에 부닥치다."
