"word" "definition"
"붙-이다" "‘붙다[1]「1」’의 사동사."
"붙-이다" "‘붙다[1]「3」’의 사동사."
"붙-이다" "‘붙다[1]「6」’의 사동사."
"붙-이다" "‘붙다[1]「7」’의 사동사."
"붙-이다" "‘붙다[1]「9」’의 사동사."
"붙-이다" "내기를 하는 데 돈을 태워 놓다."
"붙-이다" "신체의 일부분을 어느 곳에 대다."
"붙-이다" "『민속』윷놀이에서, 말을 밭에 달다."
"붙-이다" "【…을 (…과)】((‘…과’가 나타나지 않을 때는 여럿임을 뜻하는 말이 목적어로 온다))‘붙다[2]「1」’의 사동사."
"붙-이다" "‘붙다[2]「3」’의 사동사."
"붙-이다" "‘붙다[2]「8」’의 사동사."
"붙-이다" "‘붙다[2]「10」’의 사동사."
"붙-이다" "【(…과) …을】((‘…과’가 나타나지 않을 때는 여럿임을 뜻하는 말이 주어로 온다))‘붙다[3]「2」’의 사동사."
"붙-이다" "말을 걸거나 치근대며 가까이 다가서다."
"붙-이다" "기대나 희망을 걸다."
"붙-이다" "‘붙다[2]「4」’의 사동사."
"붙-이다" "‘붙다[2]「9」’의 사동사."
"붙-이다" "남의 뺨이나 볼기 따위를 세게 때리다.  "
"붙-이다" "((주로 ‘번호’, ‘순서’ 따위와 함께 쓰여))큰 소리로 구령을 외치다. "
"붙-이다" "((‘…과’가 나타나지 않을 때는 여럿임을 뜻하는 말이 목적어로 온다))"
"붙-이다" "‘붙다[3]「1」’의 사동사."
"붙-이다" "‘붙다[4]「1」’의 사동사."
"붙-이다" "((‘…과’가 나타나지 않을 때는 여럿임을 뜻하는 말이 목적어로 온다))"
"붙-이다" "‘붙다[4]「2」’의 사동사. "
