"word" "definition"
"힘" "사람이나 동물이 몸에 갖추고 있으면서 스스로 움직이거나 다른 물건을 움직이게 하는 근육 작용."
"힘" "일이나 활동에 도움이나 의지가 되는 것."
"힘" "어떤 일을 할 수 있는 능력이나 역량."
"힘" "개인이나 단체를 통제하고 강제적으로 따르게 할 수 있는 세력이나 권력."
"힘" "약물 따위가 인체에 미치는 효력이나 효능."
"힘" "사물의 이치 따위를 알거나 깨달을 수 있는 능력."
"힘" "한 나라의 국력이나 세력."
"힘" "감정이나 충동 따위를 다스리고 통제할 수 있는 능력."
"힘" "기계나 기구 따위가 스스로 움직이거나 다른 물체를 움직이게 하는 작용."
"힘" "자연 현상이 일어나는 작용의 세기나 그것이 다른 사물에 영향을 미치는 작용."
"힘" "인간의 의지를 초월하여 세상일에 영향을 미치는 보이지 아니하는 작용."
"힘" "물건 따위가 튼튼하거나 단단한 정도."
"힘" "『물리』정지하고 있는 물체를 움직이게 하고, 또 움직이고 있는 물체의 속도를 변화시키거나 아주 정지시키는 작용."
