"word" "definition"
"돌다" "물체가 일정한 축을 중심으로 원을 그리면서 움직이다."
"돌다" "일정한 범위 안에서 차례로 거쳐 가며 전전하다."
"돌다" "기능이나 체제가 제대로 작용하다."
"돌다" "돈이나 물자 따위가 유통되다."
"돌다" "기억이나 생각이 얼른 떠오르지 아니하다."
"돌다" "눈이나 머리 따위가 정신을 차릴 수 없도록 아찔하여지다."
"돌다" "(속되게) 정신에 이상이 생기다."
"돌다" "어떤 기운이나 빛이 겉으로 나타나다."
"돌다" "눈물이나 침 따위가 생기다."
"돌다" "술이나 약의 기운이 몸속에 퍼지다."
"돌다" "소문이나 돌림병 따위가 퍼지다."
"돌다" "방향을 바꾸다."
"돌다" "생각이나 노선을 바꾸다."
"돌다" "근무지나 직책 따위를 옮겨 다니다."
"돌다" "무엇의 주위를 원을 그리면서 움직이다."
"돌다" "어떤 장소의 가장자리를 따라 움직이다."
"돌다" "가까운 길을 두고 멀리 비켜 가다."
"돌다" "어떤 곳을 거쳐 지나가다."
"돌다" "길을 끼고 방향을 바꾸다."
"돌다" "일정한 범위 안을 이리저리 왔다 갔다 하다."
"돌다" "볼일로 이곳저곳을 다니다."
"돌다" "차례차례 다니다."
