"word" "definition"
"쭉" "줄이나 금 따위를 곧게 내긋는 모양. ‘죽03「1」’보다 센 느낌을 준다."
"쭉" "여럿이 고르게 늘어서거나 가지런히 벌여 있는 모양. ‘죽03「2」’보다 센 느낌을 준다."
"쭉" "한 줄로 끊어지지 않고 이어지는 모양. ‘죽03「3」’보다 센 느낌을 준다."
"쭉" "종이나 천 따위를 한 가닥으로 단번에 찢거나 훑는 모양. ‘죽03「4」’보다 센 느낌을 준다."
"쭉" "물 따위를 단숨에 들이마시는 모양. ‘죽03「5」’보다 센 느낌을 준다."
"쭉" "입으로 아주 힘차게 빠는 소리. 또는 그 모양. ‘죽03「6」’보다 센 느낌을 준다."
"쭉" "거침없이 내리 읽거나 외거나 말하는 모양. ‘죽03「7」’보다 센 느낌을 준다."
"쭉" "곧게 펴거나 벌리는 모양. ‘죽03「8」’보다 센 느낌을 준다."
"쭉" "소름이나 땀이 많이 돋는 모양. ‘죽03「9」’보다 센 느낌을 준다."
"쭉" "넓은 범위로 눈길을 보내어 한눈에 훑어보는 모양. ‘죽03「10」’보다 센 느낌을 준다."
"쭉" "같은 상태로 계속되는 모양. ‘죽03「11」’보다 센 느낌을 준다."
"쭉" "물기나 살, 기운 따위가 한꺼번에 많이 빠진 모양. "
"쭉" "윤곽이 몹시 매끈하게 이어지는 모양."
"쭉" "매우 산뜻하게 차려입은 모양."
