"word" "definition"
"보다" "눈으로 대상의 존재나 형태적 특징을 알다."
"보다" "눈으로 대상을 즐기거나 감상하다."
"보다" "책이나 신문 따위를 읽다."
"보다" "대상의 내용이나 상태를 알기 위하여 살피다."
"보다" "일정한 목적 아래 만나다."
"보다" "맡아서 보살피거나 지키다."
"보다" "상대편의 형편 따위를 헤아리다."
"보다" "점 따위로 운수를 알아보다."
"보다" "((‘시험’을 뜻하는 목적어와 함께 쓰여))자신의 실력이 나타나도록 치르다."
"보다" "어떤 일을 맡아 하다."
"보다" "어떤 결과나 관계를 맺기에 이르다."
"보다" "음식상이나 잠자리 따위를 채비하다."
"보다" "(완곡한 표현으로) 대소변을 누다."
"보다" "어떤 관계의 사람을 얻거나 맞다."
"보다" "부도덕한 이성 관계를 갖다."
"보다" "어떤 일을 당하거나 겪거나 얻어 가지다."
"보다" "의사가 환자를 진찰하다."
"보다" "신문, 잡지 따위를 구독하다."
"보다" "음식 맛이나 간을 알기 위하여 시험 삼아 조금 먹다."
"보다" "남의 결점 따위를 들추어 말하다."
"보다" "남의 결점이나 약점 따위를 발견하다."
"보다" "기회, 때, 시기 따위를 살피다."
"보다" "땅, 집, 물건 따위를 사기 위하여 살피다."
"보다" "((‘장’ 또는 ‘시장’과 같은 목적어와 함께 쓰여))물건을 팔거나 사다."
"보다" "((주로 ‘보고’ 꼴로 쓰여))고려의 대상이나 판단의 기초로 삼다."
"보다" "((주로 ‘보고’ 꼴로 쓰여))무엇을 바라거나 의지하다."
"보다" "((‘…과’가 나타나지 않을 때는 여럿임을 뜻하는 말이 주어로 온다))"
"보다" "사람을 만나다."
"보다" "((‘…으로’나 ‘-게’ 대신에 평가를 뜻하는 다른 부사어가 쓰이기도 한다))"
"보다" "대상을 평가하다."
"보다" "((동사 뒤에서 ‘-어 보다’  구성으로 쓰여))어떤 행동을 시험 삼아 함을 나타내는 말."
"보다" "((동사 뒤에서 ‘-어 보다’  구성으로 쓰여))어떤 일을 경험함을 나타내는 말."
"보다" "((동사 뒤에서 ‘-고 보니’, ‘-고 보면’  구성으로 쓰여))앞말이 뜻하는 행동을 하고 난 후에 뒷말이 뜻하는 사실을 새로 깨닫게 되거나, 뒷말이 뜻하는 상태로 됨을 나타내는 말."
"보다" "((동사 뒤에서 ‘-다(가) 보니’, ‘-다(가) 보면’  구성으로 쓰여))앞말이 뜻하는 행동을 하는 과정에서 뒷말이 뜻하는 사실을 새로 깨닫게 되거나, 뒷말이 뜻하는 상태로 됨을 나타내는 말."
"보다" "((동사나 형용사,  ‘이다’ 뒤에서 ‘-은가/는가/나 보다’ 구성으로 쓰여))앞말이 뜻하는 행동이나 상태를 추측하거나 어렴풋이 인식하고 있음을 나타내는 말."
"보다" "((동사 뒤에서 ‘-을까 보다’ 구성으로 쓰여))앞말이 뜻하는 행동을 할 의도를 가지고 있음을 나타내는 말."
"보다" "((동사나 형용사, ‘이다’ 뒤에서 ‘-을까 봐’, ‘-을까 봐서’ 구성으로 쓰여))앞말이 뜻하는 상황이 될 것 같아 걱정하거나 두려워함을 나타내는 말."
"보다" "((형용사나  ‘이다’ 뒤에서 ‘-다 보니’, ‘-고 보니’ 구성으로 쓰여))앞말이 뜻하는 상태가 뒷말의 이유나 원인이 됨을 나타내는 말.  "
