"word" "definition"
"통-하다" "막힘이 없이 들고 나다."
"통-하다" "말이나 문장 따위의 논리가 이상하지 아니하고 의미의 흐름이 적절하게 이어져 나가다."
"통-하다" "어떤 곳에 무엇이 지나가다."
"통-하다" "어떤 방면에 능하고 잘 알다."
"통-하다" "어떤 행위가 받아들여지다."
"통-하다" "어떠한 자격이나 이름으로 알려지거나 불리다."
"통-하다" "((‘…과’가 나타나지 않을 때는 여럿임을 뜻하는 말이 주어로 온다))"
"통-하다" "내적으로 관계가 있어 연계되다."
"통-하다" "【…으로】어떤 곳으로 이어지다."
"통-하다" "((‘…과’가 나타나지 않을 때는 여럿임을 뜻하는 말이 주어로 온다))"
"통-하다" "마음 또는 의사나 말 따위가 다른 사람과 소통되다."
"통-하다" "【…에/에게】전화 따위가 이어지다."
"통-하다" "어떤 길이나 공간 따위를 거쳐서 지나가다."
"통-하다" "어떤 사람이나 물체를 매개로 하거나 중개하게 하다."
"통-하다" "일정한 공간이나 기간에 걸치다."
"통-하다" "어떤 과정이나 경험을 거치다."
"통-하다" "((‘…과’가 나타나지 않을 때는 여럿임을 뜻하는 말이 주어로 온다))"
"통-하다" "어떤 관계를 맺다."
"통-하다" "인사나 말을 건네다. "
