"word" "definition"
"삼령" "천(天), 지(地), 인(人)을 통틀어 이르는 말."
"삼령" "천, 지, 인의 신(神)."
"삼령" "일(日), 월(月), 성신(星辰)을 통틀어 이르는 말. "
