"word" "definition"
"쉼-표" "『언어』문장 부호의 하나. ‘,’의 이름이다. 같은 자격의 어구를 연결할 때 쓰거나, 짝을 지어 구별할 때, 이웃하는 수를  개략적으로 나타낼 때, 열거의 순서를 나타낼 때, 문장의 연결 관계를 분명히 하고자 할 때, 되풀이되는 말을 피하기 위해 일정 부분을  줄여서 열거할 때, 부르거나 대답하는 말 뒤에, 한 문장 안에서 ‘곧’ 따위의 어구로 다시 설명할 때, 한 문장에 같은 의미의 어구가  반복될 때, 도치된 어구 사이에, 바로 다음 말과 직접적인 관계에 있지 않음을 나타낼 때, 문장 중간에 끼어든 어구의 앞뒤에, 특별한  효과를 위해 끊어 읽는 곳을 나타낼 때, 짧게 더듬는 말을 표시할 때 쓴다. ≒반점03ㆍ콤마."
"쉼-표" "『언어』이전 문장 부호 규정에서 반점(,), 모점(、), 가운뎃점(ㆍ), 쌍점(:), 빗금(/)을 아울러 이르던 말. 2014년 문장 부호 규정 개정 시에 이 조항이 삭제되었다. ≒쉬는표ㆍ휴부02(休符)「1」ㆍ휴식부「1」ㆍ휴지부「1」."
"쉼-표" "『음악』악보에서, 쉼을 나타내는 기호. 온쉼표, 이분쉼표, 사분쉼표, 팔분쉼표, 십육분쉼표 따위가 있다. ≒포즈01(pause)「2」ㆍ휴부02「2」ㆍ휴식부「2」ㆍ휴지부「2」."
