"word" "definition"
"거두어-들이다" "곡식이나 열매 따위를 한데 모으거나 수확하다."
"거두어-들이다" "흩어져 있는 물건 따위를 한데 모아서 들이다."
"거두어-들이다" "좋은 결과나 성과 따위를 얻어 내다."
"거두어-들이다" "시체, 유해 따위를 수습하여 들이다."
"거두어-들이다" "다른 사람을 식구로 받아들여 보살피다."
"거두어-들이다" "벌여 놓거나 내놓은 것을 들여놓다."
"거두어-들이다" "주로 손이나 혀 따위를 내밀다가 도로 들이다."
"거두어-들이다" "말, 생각, 제안 따위를 취소하다."
"거두어-들이다" "하던 일을 멈추거나 끝내다."
"거두어-들이다" "관심, 시선 따위를 보내기를 그만두다."
"거두어-들이다" "((매, 무기, 군사 따위의 명사와 함께 쓰여))남을 때리거나 공격하던 일을 멈추거나 끝내다."
"거두어-들이다" "((‘…에서/…에게서’ 대신에 ‘…에게’나 ‘…으로부터’가 쓰이기도 한다))"
"거두어-들이다" "여러 사람에게서 돈이나 물건 따위를 받아서 들여오다."
