"word" "definition"
"세마" "고려 문종 때에, 동궁(東宮)에 속한 종오품 벼슬."
"세마" "고려 공양왕 때에, 춘방원(春坊院)에 속한 정칠품 벼슬."
"세마" "조선 시대에, 세자 익위사에 속한 정구품 벼슬."
