"word" "definition"
"오다" "어떤 사람이 말하는 사람 혹은 기준이 되는 사람이 있는 쪽으로 움직여 위치를 옮기다."
"오다" "어떤 사람이 직업이나 학업 따위를 위하여 말하는 사람이 있는 쪽으로 옮기다."
"오다" "수레, 배, 자동차, 비행기 따위가 말하는 이가 있는 쪽을 향하여 운행하다."
"오다" "물건이나 권리 따위가 자기에게 옮겨지다."
"오다" "관심이나 눈길 따위가 말하는 사람에게로 쏠리다."
"오다" "소식이나 연락 따위가 말하는 사람이 있는 곳으로 전하여지다."
"오다" "전기가 흘러서 불이 켜지거나 몸에 전하여지다."
"오다" "운수나 보람, 기회 따위가 말하는 사람 쪽에 나타나다."
"오다" "느낌이나 뜻이 말하는 사람에게 전달되다."
"오다" "가고자 하는 곳에 이르다."
"오다" "어떤 대상에 어떤 상태가 이르다."
"오다" "일정한 목적을 가진 모임에 참석하기 위하여 말하는 사람이 있는 쪽으로 위치를 옮기다."
"오다" "건강에 해가 되다."
"오다" "((‘…에’ 대신에 ‘…까지’가 쓰이기도 한다))길이나 깊이를 가진 물체가 어떤 정도에 이르거나 닿다."
"오다" "((주로 ‘와서’ 꼴로 쓰여))((‘…에’ 대신에 시간 부사어가 쓰이기도 한다))말하는 때나 시기에 이르다."
"오다" "물체가 말하는 사람이 있는 쪽으로 기울어지다."
"오다" "비, 눈, 서리나 추위 따위가 내리거나 닥치다."
"오다" "질병이나 졸음 따위의 생리적 현상이 일어나거나 생기다."
"오다" "어떤 때나 계절 따위가 말하는 시점을 기준으로 현재나 가까운 미래에 닥치다."
"오다" "((‘에서/에게서’ 대신에 ‘…으로부터’가 쓰이기도 한다))"
"오다" "어떤 현상이 어떤 원인에서 비롯하여 생겨나다."
"오다" "어떤 현상이 다른 곳에서 전하여지다."
"오다" "어떤 경로를 통하여 말하는 사람이 있는 쪽으로 위치를 옮기다."
"오다" "((‘…을’ 성분은 주로 서술성이 있는 명사가 온다))"
"오다" "어떤 목적 혹은 어떤 일을 하기 위하여 말하는 이가 있는 곳으로 위치를 옮기다."
"오다" "((주로 동사 뒤에서 ‘-어 오다’ 구성으로 쓰여))"
"오다" "앞말이 뜻하는 행동이나 상태가 말하는 이 또는 말하는 이가 정하는 기준점으로 가까워지면서 계속 진행됨을 나타내는 말."
