"word" "definition"
"내리다" "눈, 비, 서리, 이슬 따위가 오다."
"내리다" "어둠, 안개 따위가 짙어지거나 덮여 오다."
"내리다" "쪘거나 부었던 살이 빠지다."
"내리다" "타고 있던 물체에서 밖으로 나와 어떤 지점에 이르다."
"내리다" "비행기 따위가 지상에 도달하여 멈추다."
"내리다" "탈것에서 밖이나 땅으로 옮아가다."
"내리다" "위에 있는 것을 낮은 곳 또는 아래로 끌어당기거나 늘어뜨리다."
"내리다" "판단, 결정을 하거나 결말을 짓다."
"내리다" "위에 올려져 있는 물건을 아래로 옮기다."
"내리다" "위에 있는 것을 아래에 옮겨 놓다."
"내리다" "가루 따위를 체에 치다."
"내리다" "값이나 수치, 온도, 성적 따위가 이전보다 떨어지거나 낮아지다. 또는 그렇게 하다."
"내리다" "먹은 음식물 따위가 소화되다. 또는 그렇게 하다."
"내리다" "막, 휘장, 커튼 따위가 위에서 아래로 옮겨 가다. 또는 그렇게 하다."
"내리다" "뿌리가 땅속으로 들어가다."
"내리다" "윗사람으로부터 아랫사람에게 상이나 벌 따위가 주어지다. 또는 그렇게 하다."
"내리다" "명령이나 지시 따위를 선포하거나 알려 주다. 또는 그렇게 하다."
