"word" "definition"
"하다" "사람이나 동물, 물체 따위가 행동이나 작용을 이루다."
"하다" "먹을 것, 입을 것, 땔감 따위를 만들거나 장만하다."
"하다" "표정이나 태도 따위를 짓거나 나타내다."
"하다" "음식물 따위를 먹거나 마시거나 담배 따위를 피우다."
"하다" "장신구나 옷 따위를 갖추거나 차려입다."
"하다" "어떤 직업이나 분야에 종사하거나 사업체 따위를 경영하다."
"하다" "어떤 지위나 역할을 맡거나 책임지다."
"하다" "어떠한 결과를 이루어 내다."
"하다" "무엇을 사거나 얻거나 하여 가지다."
"하다" "값이 어느 정도에 이르다."
"하다" "((값어치를 나타내는 말과 함께 쓰여))기대에 걸맞은 일을 행동으로 나타내다."
"하다" "((주로 ‘할 것 없다’ 구성으로 쓰여))((‘…을’ 대신에 ‘-고 -고’, ‘-다 -다’가 쓰이기도 한다))분별하여 말하다."
"하다" "((주로 ‘어떻게’와 함께 쓰이며 ‘-게’ 대신에 ‘-듯’이나 ‘…대로’ 따위가 쓰이기도 한다))사건이나 문제 따위를 처리하다."
"하다" "특정한 대상을 어떤 특성이나 자격을 가지는 것으로 만들거나 삼다. "
"하다" "어떠한 방향으로 두다."
"하다" "【-기로】어떤 일을 그렇게 정하다."
"하다" "이름 지어 부르다."
"하다" "((주로 ‘하여(서)’ 꼴로 일부 명사 다음에 쓰여))어떠한 일의 원인이 되다."
"하다" "((주로 ‘해서’나 ‘하여’ 꼴로 쓰여))어디를 경유하다."
"하다" "((주로 ‘하여(서)’ 꼴로 ‘쯤’, ‘경’ 다음에 쓰여))일정한 시각이나 시기에 이르다."
"하다" "((‘하면’ 꼴로 명사 다음에 쓰여))이야기의 화제로 삼다."
"하다" "((‘하고’ 꼴로 명사의 단독형과 함께 쓰여))‘그것에 그치지 않고 거기에 더하여’의 의미를 나타내는 말."
"하다" "((간접 인용의 경우에는 ‘고’가, 직접 인용의 경우에는 ‘라고’가 쓰인다))이르거나 말하다."
"하다" "((주로 ‘하는’ 꼴로 쓰이는데 ‘-고 하는’은 ‘-는’으로 줄기도 한다))다른 사람의 말이나 생각 따위를 나타내는 문장의 내용을 받아 뒤에 오는 체언을 꾸미는 기능을 나타내는 말."
"하다" "((‘-게’ 대신에 ‘-노라고, -ㄴ다고’ 따위나 ‘…대로, …처럼’ 따위의 부사어가 쓰이기도 한다))다른 사람에게 특별한 방식으로 어떤 영향을 주거나 대하다."
"하다" "((‘-게’ 대신에 ‘…대로, …처럼’ 따위의 부사어가 쓰이기도 한다))어떤 방식으로 행위를 이루다."
"하다" "((‘-거나 -거나, -든지 -든지, -고 -고, -다가 -다가, -거니 -거니, -둥 -둥, -까 -까’ 따위의 구성 뒤에 쓰여))나열되거나 되풀이되는 둘 이상의 일을 서술하는 기능을 나타내는 말."
"하다" "((‘-ㄴ가/-ㄹ까/-나, -려니, -려나, -거니’ 구성 뒤에 쓰여))생각하거나 추측하다."
"하다" "((‘-니 -니’ 구성 따위 뒤에 쓰여))이러저러하게 말하다."
"하다" "((‘-다’ 구성 뒤에서 ‘하면’ 꼴로 쓰여))만일 어떤 상황이 일어나면 그에 따르는 어떤 상황이 반드시 뒤따라옴을 나타내는 말."
"하다" "((의성어 뒤에 쓰여))그런 소리가 나다. 또는 그런 소리를 내다."
"하다" "((인용 조사 없이 발화를 직접 인용하는 문장 뒤에 쓰여))인용하는 기능을 나타내는 말."
"하다" "((문장 앞에서 ‘하나’, ‘하니’, ‘하면’, ‘하여’, ‘해서’ 따위의 꼴로 쓰여))‘그러나’, ‘그러니’, ‘그러면’, ‘그리하여’, ‘그래서’의 뜻을 나타내는 말."
"하다" "((동사나 형용사 뒤에서 ‘-게 하다’ 구성으로 쓰여))앞말의 행동을 시키거나 앞말이 뜻하는 상태가 되도록 함을 나타내는 말."
"하다" "((동사나 형용사 뒤에서 주로 ‘-었으면 하다’ 구성으로 쓰여))앞말의 행동을 하거나 앞말의 상태가 되기를 바람을 나타내는 말."
"하다" "((동사나 형용사 뒤에서 ‘-어야 하다’ 구성으로 쓰여))앞말이 뜻하는 행동을 하거나 앞말이 뜻하는 상태가 되는 것이 필요함을 나타내는 말."
"하다" "((동사 뒤에서 ‘-으려(고) 하다’, ‘-고자 하다’ 구성으로 쓰여))앞말이 뜻하는 행동이나 상태를 의도하거나 바람을 나타내는 말."
"하다" "((동사 뒤에서 ‘-기는 하다’, ‘-기도 하다’, ‘-기나 하다’ 따위의 구성으로 쓰여))앞말이 뜻하는 행동을 일단 긍정하거나 강조함을 나타내는 말."
"하다" "((동사나 형용사 뒤에서 ‘-고 해서’, ‘-고 하여’, ‘-고 하니’ 구성으로 쓰여))앞말의 사실이 뒷말의 이유나 근거가 됨을 나타내는 말."
"하다" "((동사 뒤에서 ‘-고는 하다’, ‘-곤 하다’ 구성으로 쓰여))앞말이 뜻하는 행동을 습관처럼 하거나 앞말이 뜻하는 상황이 반복되어 일어남을 나타내는 말."
"하다" "((형용사 뒤에서 ‘-어하다’ 구성으로 쓰여))앞말이 뜻하는 대상에 대한 느낌을 가짐을 나타내는 말."
"하다" "((형용사 뒤에서 ‘-기는 하다’, ‘-기도 하다’, ‘-기나 하다’ 따위의 구성으로 쓰여))앞말이 뜻하는 상태를 일단 긍정하거나 강조함을 나타내는 말."
