"word" "definition"
"잡-히다" "‘잡다01[1]「2」’의 피동사."
"잡-히다" "‘잡다01[1]「3」’의 피동사."
"잡-히다" "‘잡다01[1]「4」’의 피동사."
"잡-히다" "‘잡다01[1]「5」’의 피동사."
"잡-히다" "‘잡다01[1]「7」’의 피동사."
"잡-히다" "‘잡다01[1]「9」’의 피동사."
"잡-히다" "‘잡다01[1]「11」’의 피동사."
"잡-히다" "‘잡다01[1]「12」’의 피동사."
"잡-히다" "‘잡다01[1]「13」’의 피동사."
"잡-히다" "‘잡다01[1]「14」’의 피동사."
"잡-히다" "【…으로】‘잡다01[1]「15」’의 피동사."
"잡-히다" "‘잡다01[1]「16」’의 피동사."
"잡-히다" "‘잡다01[1]「17」’의 피동사."
"잡-히다" "‘잡다01[1]「18」’의 피동사."
"잡-히다" "‘잡다01[1]「19」’의 피동사."
"잡-히다" "‘잡다01[1]「20」’의 피동사."
"잡-히다" "‘잡다01[1]「1」’의 피동사."
"잡-히다" "‘잡다01[1]「6」’의 피동사."
"잡-히다" "‘잡다01[1]「8」’의 피동사."
"잡-히다" "‘잡다01[1]「10」’의 피동사."
"잡-히다" "‘잡다01[2]「1」’의 피동사."
"잡-히다" "【-게】‘잡다01[2]「2」’의 피동사."
"잡-히다" "【…에】‘잡다01[2]「3」’의 피동사."
"잡-히다" "‘잡다01[3]’의 피동사."
