"word" "definition"
"에" "((체언 뒤에 붙어))"
"에" "앞말이 처소의 부사어임을 나타내는 격 조사."
"에" "앞말이 시간의 부사어임을 나타내는 격 조사."
"에" "앞말이 진행 방향의 부사어임을 나타내는 격 조사. "
"에" "앞말이 원인의 부사어임을 나타내는 격 조사."
"에" "앞말이 어떤 움직임을 일으키게 하는 대상의 부사어임을 나타내는 격 조사. "
"에" "앞말이 어떤 움직임이나 작용이 미치는 대상의 부사어임을 나타내는 격 조사."
"에" "앞말이 목표나 목적 대상의 부사어임을 나타내는 격 조사."
"에" "앞말이 수단, 방법 따위의 대상이 되는 부사어임을 나타내는 격 조사."
"에" "앞말이 조건, 환경, 상태 따위의 부사어임을 나타내는 격 조사."
"에" "앞말이 기준되는 대상이나 단위의 부사어임을 나타내는 격 조사."
"에" "앞말이 비교의 대상이 되는 부사어임을 나타내는 격 조사."
"에" "앞말이 맡아보는 자리나 노릇의 부사어임을 나타내는 격 조사."
"에" "앞말이 제한된 범위의 부사어임을 나타내는 격 조사."
"에" "((‘관하여(관한)’, ‘대하여(대한)’, ‘의하여(의한)’, ‘있어서’ 따위와 함께 쓰여))앞말이 지정하여 말하고자 하는 대상의 부사어임을 나타내는 격 조사."
"에" "앞말이 무엇이 더하여지는 뜻의 부사어임을 나타내는 격 조사."
"에" "((체언 뒤에 붙어))"
"에" "둘 이상의 사물을 같은 자격으로 이어 주는 접속 조사."
