"word" "definition"
"간" "고대 부족 사회에서, 족장이나 국왕을 이르던 말."
"간" "신라 때에, 촌도전ㆍ마전ㆍ육전ㆍ와기전 등에 속한 벼슬을 이르던 말."
"간" "신라 때에 둔, 외위(外位)의 일곱째 등급. 경위(京位)의 사지(舍知)에 해당한다."
