"word" "definition"
"있다" "사람이나 동물이 어느 곳에서 떠나거나 벗어나지 아니하고 머물다."
"있다" "사람이 어떤 직장에 계속 다니다."
"있다" "((‘-게’ 대신에 ‘-이/히’ 부사 따위나 다른 부사어가 쓰이기도 한다))"
"있다" "사람이나 동물이 어떤 상태를 계속 유지하다."
"있다" "얼마의 시간이 경과하다."
"있다" "사람, 동물, 물체 따위가 실제로 존재하는 상태이다."
"있다" "어떤 사실이나 현상이 현실로 존재하는 상태이다."
"있다" "어떤 일이 이루어지거나 벌어질 계획이다."
"있다" "((주로 ‘있는’ 꼴로 쓰여))재물이 넉넉하거나 많다."
"있다" "((‘-ㄹ 수 있다’ 꼴로 쓰여))어떤 일을 이루거나 어떤 일이 발생하는 것이 가능함을 나타내는 말."
"있다" "((구어체에서, ‘있잖아’, ‘있지’ 꼴로 쓰여))어떤 대상이나 사실을 강조ㆍ확인하는 뜻을 나타내는 말."
"있다" "사람이나 사물 또는 어떤 사실이나 현상 따위가 어떤 곳에 자리나 공간을 차지하고 존재하는 상태이다."
"있다" "사람이나 동물이 어느 곳에 머무르거나 사는 상태이다."
"있다" "사람이 어떤 직장에 다니는 상태이다."
"있다" "어떤 처지나 상황, 수준, 단계에 놓이거나 처한 상태이다."
"있다" "개인이나 물체의 일부분이 일정한 범위나 전체에 포함된 상태이다."
"있다" "어떤 물체를 소유하거나 자격이나 능력 따위를 가진 상태이다."
"있다" "일정한 관계를 가진 사람이 존재하는 상태이다."
"있다" "어떤 사람에게 무슨 일이 생긴 상태이다."
"있다" "((주로 ‘…에/에게 있어서’ 구성으로 쓰여))"
"있다" "앞에 오는 명사를 화제나 논의의 대상으로 삼은 상태를 나타내는 말. 문어적 표현으로, ‘에’, ‘에게’, ‘에서’의 뜻을 나타낸다."
"있다" "사람이 어떤 지위나 역할로 존재하는 상태이다."
"있다" "((이유, 근거, 구실, 가능성 따위와 같은 단어와 함께 쓰여))"
"있다" "이유나 가능성 따위로 성립된 상태이다."
"있다" "((주로 동사 뒤에서 ‘-어 있다’ 구성으로 쓰여))앞말이 뜻하는 행동이나 변화가 끝난 상태가 지속됨을 나타내는 말."
"있다" "((주로 동사 뒤에서 ‘-고 있다’ 구성으로 쓰여))앞말이 뜻하는 행동이 계속 진행되고 있거나 그 행동의 결과가 지속됨을 나타내는 말."
