"word" "definition"
"놀다" "놀이나 재미있는 일을 하며 즐겁게 지내다."
"놀다" "직업이나 일정히 하는 일이 없이 지내다."
"놀다" "어떤 일을 하다가 일정한 동안을 쉬다."
"놀다" "물자나 시설 따위를 쓰지 않다."
"놀다" "고정되어 있던 것이 헐거워 이리저리 움직이다."
"놀다" "태아가 꿈틀거리다."
"놀다" "이리저리 돌아다니다."
"놀다" "신체 부위가 일정하게 움직이다."
"놀다" "주색을 일삼아 방탕하게 지내다."
"놀다" "불량한 무리들이 나쁜 짓을 일삼으며 지내다."
"놀다" "일정한 장소를 중심으로 지내다."
"놀다" "((주로 ‘…을 가지고 놀다’ 구성으로 쓰여))남을 조롱하거나 자기 뜻대로 좌지우지하다."
"놀다" "마음에 들지 않게 행동함을 비꼬는 말."
"놀다" "비슷한 무리끼리 어울리다. "
"놀다" "들떠서 주책없이 행동하거나 경솔한 태도를 가지다."
"놀다" "그러하게 행동하다."
"놀다" "어떤 구경거리가 되는 재주를 부리다."
"놀다" "어떤 놀이를 하여 이기고 짐을 겨루다."
"놀다" "((방해와 관련된 명사와 함께 쓰여))작용이나 역할을 하다."
