"word" "definition"
"점" "작고 둥글게 찍은 표."
"점" "문장 부호로 쓰는 표. 마침표, 쉼표, 가운뎃점 따위를 이른다."
"점" "사람의 살갗이나 짐승의 털 따위에 나타난, 다른 색깔의 작은 얼룩."
"점" "소수의 소수점을 이르는 말."
"점" "((관형사형 다음에 쓰여))여러 속성 가운데 어느 부분이나 요소."
"점" "『수학』모든 도형의 궁극적 구성 요소인 가장 단순한 도형으로서 위치만 있고 크기가 없는 것."
"점" "『음악』=부점(附點)."
"점" "성적을 나타내는 단위."
"점" "그림, 옷 따위를 세는 단위."
"점" "((주로 수 관형사 ‘한’ 뒤에 쓰여))아주 적은 양을 나타내는 말."
"점" "잘라 내거나 뜯어낸 고기 살점을 세는 단위."
"점" "떨어지는 물방울 따위를 세는 단위."
"점" "예전에, 시각을 세던 단위. 괘종시계의 종 치는 횟수로 세었다."
"점" "『운동』바둑에서, 수가 낮은 사람이 더 놓는 돌이나 따낸 돌을 세는 단위."
"점" "『음악』국악에서, 북편이나 채편 따위의 장구를 치는 횟수를 나타내는 단위."
