"word" "definition"
"삼덕" "유교 사회에서 말하는 정직(正直)ㆍ강(剛)ㆍ유(柔) 또는 지(智)ㆍ인(仁)ㆍ용(勇)의 세 가지 덕."
"삼덕" "『기독교』믿음, 소망, 사랑의 세 가지 덕."
"삼덕" "『불교』불과(佛果)의 세 가지 공덕. 지덕(智德), 단덕(斷德), 은덕(恩德)을 이른다."
"삼덕" "『불교』열반을 얻은 이에게 갖추어진 세 가지 덕. 법신덕, 반야덕, 해탈덕을 이른다."
