"word" "definition"
"쪽" "작은 줄이나 금 따위를 곧게 내긋는 모양. ‘족01「1」’보다 센 느낌을 준다."
"쪽" "작은 것들이 고르게 늘어서거나 가지런히 벌여 있는 모양. ‘족01「2」’보다 센 느낌을 준다."
"쪽" "한 줄로 끊어지지 아니하고 이어지는 모양. ‘족01「3」’보다 센 느낌을 준다."
"쪽" "작은 종이나 천 따위를 한 가닥으로 단번에 찢거나 훑는 모양. ‘족01「4」’보다 센 느낌을 준다."
"쪽" "적은 양의 액체를 단숨에 들이마시는 모양. ‘족01「5」’보다 센 느낌을 준다."
"쪽" "입으로 힘차게 빠는 소리. 또는 그 모양. ‘족01「6」’보다 센 느낌을 준다."
"쪽" "거침없이 내리읽거나 외거나 말하는 모양. ‘족01「7」’보다 센 느낌을 준다."
"쪽" "작은 것을 곧게 펴거나 벌리는 모양. ‘족01「8」’보다 센 느낌을 준다."
"쪽" "소름이나 땀이 돋는 모양. ‘족01「9」’보다 센 느낌을 준다."
"쪽" "좁은 범위로 눈길을 보내어 한눈에 훑어보는 모양. ‘족01「10」’보다 센 느낌을 준다."
"쪽" "작은 것이 단번에 갈라지거나 벗겨지는 모양."
"쪽" "속에 들어 있는 액체가 모조리 빠지는 모양."
"쪽" "물기나 살, 기운 따위가 한꺼번에 빠지는 모양."
"쪽" "입맞춤하는 소리. "
"쪽" "윤곽이 매끈하게 이어지는 모양."
"쪽" "산뜻하게 차려입은 모양. "
