"word" "definition"
"코너^워크" "야구에서, 투수가 타자를 아웃시키기 위하여 스트라이크 존의 좌우 코너로 교묘하게 공을 던지는 기술."
"코너^워크" "스케이트에서, 코너를 재치 있게 도는 일. 또는 그런 기술."
"코너^워크" "권투에서, 링의 코너에 몰렸을 때에 풋워크로 유리한 자세를 만드는 기술."
