"word" "definition"
"쭉-쭉" "줄이나 금 따위를 잇따라 곧게 긋는 모양. ‘죽죽01「1」’보다 센 느낌을 준다."
"쭉-쭉" "여럿이 잇따라 고르게 늘어서거나 가지런히 벌여 있는 모양. ‘죽죽01「2」’보다 센 느낌을 준다."
"쭉-쭉" "여럿이 한 줄로 끊어지지 않고 이어지는 모양. ‘죽죽01「3」’보다 센 느낌을 준다."
"쭉-쭉" "종이나 천 따위를 여러 가닥으로 잇따라 찢는 모양. ‘죽죽01「4」’보다 센 느낌을 준다."
"쭉-쭉" "물 따위를 잇따라 단숨에 들이마시는 모양. ‘죽죽01「5」’보다 센 느낌을 준다."
"쭉-쭉" "잇따라 입으로 아주 힘차게 빠는 소리. 또는 그 모양. ‘죽죽01「6」’보다 센 느낌을 준다."
"쭉-쭉" "거침없이 잇따라 내리읽거나 외거나 말하는 모양. ‘죽죽01「7」’보다 센 느낌을 준다."
"쭉-쭉" "여럿이 잇따라 펴거나 벌리는 모양. ‘죽죽01「8」’보다 센 느낌을 준다."
"쭉-쭉" "소름이나 땀이 잇따라 돋거나 나는 모양. ‘죽죽01「9」’보다 센 느낌을 준다."
"쭉-쭉" "넓은 범위로 눈길을 보내어 잇따라 훑어보는 모양. ‘죽죽01「10」’보다 센 느낌을 준다."
"쭉-쭉" "미끄러운 곳에서 잇따라 밀려 나가는 모양. ‘죽죽01「11」’보다 센 느낌을 준다."
