"word" "definition"
"상-장군" "신라 때에, 대장군 다음가던 벼슬."
"상-장군" "고려 시대에, 각 군영의 으뜸 벼슬. 품계는 정삼품이며 이군(二軍)과 육위(六衛)에 한 명씩 두었다. 공민왕 때 상호군으로 고쳤다."
"상-장군" "조선 전기에, 의흥친군위(義興親軍衛)의 십위(十衛)에 속하여 있던 으뜸 벼슬. 품계는 정삼품이며 뒤에 상호군(上護軍)으로 고쳤다."
