"word" "definition"
"가볍다" "무게가 일반적이거나 기준이 되는 대상의 것보다 적다."
"가볍다" "비중이나 가치, 책임 따위가 낮거나 적다."
"가볍다" "죄과나 실수 따위가 그다지 심하지 않다. "
"가볍다" "병세나 상처 따위가 그다지 심하지 않다."
"가볍다" "생각이나 언어, 행동이 침착하지 못하거나 진득하지 못하다."
"가볍다" "몸이나 손발 따위의 움직임이 날쌔고 재다."
"가볍다" "노력이나 부담 따위가 적다."
"가볍다" "((주로 ‘가볍게’ 꼴로 쓰여))정도가 대수롭지 않고 예사롭다."
"가볍다" "((주로 ‘가볍게’ 꼴로 쓰여))다루기에 힘이 들지 않고 수월하다."
"가볍다" "바람이나 물결 따위의 이는 정도가 약하다."
"가볍다" "닿는 정도가 약하다."
"가볍다" "소리나 색깔 따위가 밝고 경쾌하다."
"가볍다" "세금이나 잘못에 대한 대가로 치르는 형량, 벌금 따위가 적다."
"가볍다" "옷차림이나 화장이 요란하지 않고 산뜻하거나 활동하기에 편하다."
"가볍다" "마음이 홀가분하고 경쾌하다."
