"word" "definition"
"박다" "두들겨 치거나 틀어서 꽂히게 하다."
"박다" "붙이거나 끼워 넣다."
"박다" "속이나 가운데에 들여 넣다."
"박다" "음식에 소를 넣다."
"박다" "틀이나 판에 넣어 눌러 만들다."
"박다" "자기 쪽 사람을 은밀히 넣어 두다."
"박다" "((흔히 ‘눈길’, ‘눈’ 따위와 함께 쓰여))한곳을 뚫어지게 바라보다."
"박다" "머리나 얼굴 따위를 깊이 숙이거나 눌러서 대다."
"박다" "머리 따위를 부딪치다."
"박다" "식물이 뿌리를 내리다."
"박다" "인쇄물 따위에 글자나 그림을 집어넣다."
"박다" "인쇄물이나 사진을 찍다."
"박다" "실을 곱걸어서 꿰매다."
"박다" "말이나 글씨 따위를 분명하게 나타내다."
"박다" "명단에 올려 적을 두게 하다."
"박다" "『북한어』마음속이나 기억 속에 오래 남기다."
"박다" "『북한어』보고, 결정, 지시, 명령 같은 데에 필요한 내용을 써넣다."
"박다" "『북한어』노를 물속에 힘주어 넣다."
