"word" "definition"
"죽다" "생명이 없어지거나 끊어지다. ≒운하다02."
"죽다" "불 따위가 타거나 비치지 아니한 상태에 있다."
"죽다" "본래 가지고 있던 색깔이나 특징 따위가 변하여 드러나지 아니하다."
"죽다" "성질이나 기운 따위가 꺾이다."
"죽다" "마음이나 의식 속에 남아 있지 못하고 잊히다."
"죽다" "움직이던 물체가 멈추어 제 기능을 하지 못하다."
"죽다" "경기나 놀이 따위에서, 상대편에게 잡혀 제 기능을 하지 못하다."
"죽다" "글이나 말 또는 어떤 현상의 효력 따위가 현실과 동떨어져 생동성을 잃다."
"죽다" "상대편에게 으름장을 놓거나 상대편을 위협하는 말."
"죽다" "((주로 ‘죽도록’, ‘죽어라 (하고)’, ‘죽자고’ 따위의 꼴로 쓰여))있는 힘을 다한다는 뜻을 이르는 말."
"죽다" "(은어로) 감옥에 가다."
"죽다" "((형용사 뒤에서 ‘-어 죽다’ 구성으로 쓰여))"
"죽다" "앞말이 뜻하는 상태나 느낌의 정도가 매우 심함을 나타내는 말."
