"word" "definition"
"주다" "물건 따위를 남에게 건네어 가지거나 누리게 하다."
"주다" "시간 따위를 남에게 허락하여 가지거나 누리게 하다."
"주다" "남에게 어떤 자격이나 권리, 점수 따위를 가지게 하다."
"주다" "남에게 어떤 역할 따위를 가지게 하다. "
"주다" "남에게 어떤 일이나 감정을 겪게 하거나 느끼게 하다."
"주다" "실이나 줄 따위를 풀리는 쪽으로 더 풀어 내다."
"주다" "남에게 경고, 암시 따위를 하여 어떤 내용을 알 수 있게 하다. "
"주다" "시선이나 관심 따위를 어떤 곳으로 향하다."
"주다" "주사나 침 따위를 놓다."
"주다" "속력이나 힘 따위를 내다."
"주다" "다른 사람에게 정이나 마음을 베풀거나 터놓다."
"주다" "『북한어』교육이나 강습 따위를 받아 배우게 하다."
"주다" "『북한어』어떤 것에 보충하거나 넣다."
"주다" "『북한어』어떤 내용을 취급하거나 반영하다."
"주다" "((동사 뒤에서 ‘-어 주다’ 구성으로 쓰여))"
"주다" "앞 동사의 행위가 다른 사람의 행위에 영향을 미침을 나타내는 말."
