"word" "definition"
"들다" "밖에서 속이나 안으로 향해 가거나 오거나 하다."
"들다" "빛, 볕, 물 따위가 안으로 들어오다."
"들다" "방이나 집 따위에 있거나 거처를 정해 머무르게 되다."
"들다" "길을 택하여 가거나 오다."
"들다" "수면을 취하기 위한 장소에 가거나 오다."
"들다" "어떤 일에 돈, 시간, 노력, 물자 따위가 쓰이다."
"들다" "물감, 색깔, 물기, 소금기가 스미거나 배다."
"들다" "어떤 범위나 기준, 또는 일정한 기간 안에 속하거나 포함되다."
"들다" "안에 담기거나 그 일부를 이루다."
"들다" "어떤 처지에 놓이다."
"들다" "((‘눈’, ‘마음’ 따위의 뒤에 쓰여))어떤 물건이나 사람이 좋게 받아들여지다."
"들다" "어떤 일이나 기상 현상이 일어나다."
"들다" "((주로 ‘…(에) 들어, 들자’ 꼴로 쓰여))어떠한 시기가 되다."
"들다" "어떤 조직체에 가입하여 구성원이 되다."
"들다" "적금이나 보험 따위의 거래를 시작하다."
"들다" "어떤 때, 철이 되거나 돌아오다."
"들다" "잠이 생기어 몸과 의식에 작용하다."
"들다" "나이가 많아지다."
"들다" "과일, 음식의 맛 따위가 익어서 알맞게 되다."
"들다" "몸에 병이나 증상이 생기다."
"들다" "의식이 회복되거나 어떤 생각이나 느낌이 일다."
"들다" "버릇이나 습관이 몸에 배다."
"들다" "아이나 새끼를 가지다."
"들다" "식물의 뿌리나 열매가 속이 단단한 상태가 되다."
"들다" "남을 위하여 어떤 일을 하다."
"들다" "돈을 내고 셋집을 얻어 살다."
"들다" "((동사 뒤에서 ‘-려(고) 들다’, ‘-기로 들다’, ‘-자고 들다’ 구성으로 쓰여))앞말이 뜻하는 행동을 애써서 적극적으로 하려고 함을 나타내는 말."
"들다" "((동사 뒤에서 ‘-고 들다’ 구성으로 쓰여))앞말이 뜻하는 행동을 거칠고 다그치듯이 함을 나타내는 말."
