"word" "definition"
"없다" "사람, 동물, 물체 따위가 실제로 존재하지 않는 상태이다."
"없다" "어떤 사실이나 현상이 현실로 존재하지 않는 상태이다."
"없다" "어떤 일이나 현상이나 증상 따위가 생겨 나타나지 않은 상태이다."
"없다" "어떤 것이 많지 않은 상태이다."
"없다" "((주로 ‘없는’ 꼴로 쓰여))재물이 넉넉하지 못하여 가난하다."
"없다" "((주로 ‘-ㄹ(을) 수 없다’ 꼴로 쓰여))어떤 일이 가능하지 않다."
"없다" "사람이나 사물 또는 어떤 사실이나 현상 따위가 어떤 곳에 자리나 공간을 차지하고 존재하지 않는 상태이다."
"없다" "사람이나 동물이 어느 곳에 머무르거나 살지 않는 상태이다."
"없다" "매우 드물다."
"없다" "일정한 범위에 포함되지 않는 상태이다."
"없다" "어떤 물체를 소유하고 있지 않거나 자격이나 능력 따위를 갖추지 않은 상태이다."
"없다" "일정한 관계를 가진 사람이 존재하지 않는 상태이다."
"없다" "어떤 사람에게 아무 일도 생기지 않은 상태이다."
"없다" "((이유, 근거, 구실, 가능성 따위와 같은 단어와 함께 쓰여))이유나 가능성 따위로 성립될 수 없는 상태이다."
"없다" "상하, 좌우, 위계 따위가 구별될 수 없는 상태이다."
"없다" "‘죽다01’를 완곡하게 이르는 말. "
