"word" "definition"
"먹다" "음식 따위를 입을 통하여 배 속에 들여보내다."
"먹다" "담배나 아편 따위를 피우다."
"먹다" "연기나 가스 따위를 들이마시다."
"먹다" "어떤 마음이나 감정을 품다."
"먹다" "일정한 나이에 이르거나 나이를 더하다."
"먹다" "겁, 충격 따위를 느끼게 된다."
"먹다" "욕, 핀잔 따위를 듣거나 당하다."
"먹다" "(속되게) 뇌물을 받아 가지다."
"먹다" "수익이나 이문을 차지하여 가지다."
"먹다" "물이나 습기 따위를 빨아들이다."
"먹다" "어떤 등급을 차지하거나 점수를 따다."
"먹다" "구기 경기에서, 점수를 잃다."
"먹다" "(속되게) 여자의 정조를 유린하다."
"먹다" "매 따위를 맞다."
"먹다" "남의 재물을 다루거나 맡은 사람이 그 재물을 부당하게 자기의 것으로 만들다."
"먹다" "날이 있는 도구가 소재를 깎거나 자르거나 갈거나 하는 작용을 하다."
"먹다" "바르는 물질이 배어들거나 고루 퍼지다."
"먹다" "벌레, 균 따위가 파 들어가거나 퍼지다."
"먹다" "돈이나 물자 따위가 들거나 쓰이다."
"먹다" "((일부 동사 뒤에서 ‘-어 먹다’ 구성으로 쓰여))"
"먹다" "앞말이 뜻하는 행동을 강조하는 말. 주로 그 행동이나 그 행동과 관련된 상황이 마음에 들지 않을 때 쓴다."
