"word" "definition"
"같다" "((‘…과’가 나타나지 않을 때는 여럿임을 뜻하는 말이 주어로 온다))"
"같다" "서로 다르지 않고 하나이다. ≒여하다."
"같다" "((‘…과’ 성분은 주로 ‘과’가 생략된 단독형으로 쓰인다))"
"같다" "다른 것과 비교하여 그것과 다르지 않다."
"같다" "((‘같은’ 꼴로 체언 뒤에 쓰여))그런 부류에 속한다는 뜻을 나타내는 말."
"같다" "((선행 명사는 단독형으로만 쓰인다))"
"같다" "((‘같으면’ 꼴로 쓰여))‘-라면’의 뜻을 나타내는 말."
"같다" "((‘같은’ 꼴로 동일 명사 사이에 쓰여))‘기준에 합당한’의 뜻을 나타내는 말."
"같다" "((‘같아서(는)’ 꼴로 ‘마음’, ‘생각’ 따위의 명사 뒤에 쓰여))‘지금의 마음이나 형편에 따르자면’의 뜻으로 쓰여 실제로는 그렇지 못함을 나타내는 말."
"같다" "((‘같아서는’ 꼴로 일부 시간을 나타내는 명사 뒤에 쓰여))‘그 시간에 벌어진 일이나 상황 따위가 계속된다면’의 뜻으로 쓰여 그러한 상황이 지속되지 않기를 바라는 마음을 나타내는 말."
"같다" "((‘같으니(라고)’ 꼴로 욕하는 말 뒤에 쓰여))혼잣말로 남을 욕할 때, 그 말과 다름없다는 뜻을 나타내는 말."
"같다" "((‘-ㄴ/는 것’, ‘-ㄹ/을 것’ 뒤에 쓰여))"
"같다" "추측, 불확실한 단정을 나타내는 말."
