"word" "definition"
"재생" "죽게 되었다가 다시 살아남. ≒반생01(反生)「2」."
"재생" "타락하거나 희망이 없어졌던 사람이 다시 올바른 길을 찾아 살아감."
"재생" "낡거나 못 쓰게 된 물건을 가공하여 다시 쓰게 함."
"재생" "녹음ㆍ녹화한 테이프나 필름 따위로 본래의 소리나 모습을 다시 들려주거나 보여 줌."
"재생" "『물리』무선 주파 증폭기ㆍ검파기ㆍ가청 주파 증폭기에서, 인위적으로 양(陽)의 피드백을 가하여 증폭도를 크게 하는 일. 재생 검파에 응용하는데, 재생이 너무 강하면 자기 진동을 하여 ‘삐삐’ 소리가 난다."
"재생" "『생물』상실되거나 손상된 생물체의 한 부분에 새로운 조직이 생겨 다시 자라남. 또는 그런 현상. 식물의 줄기를 잘라서 심어도 뿌리와 싹이 나며 지렁이의 머리, 해면의 세포, 불가사리의 몸을 각각 분리하여도 다시 자라서 개체를 이룬다. 생리적인 것과 병리적인 것이 있으며, 사람의 조직인 경우 털이나 손톱ㆍ발톱 따위는 재생하지만 신경이나 근육은 재생하지 않는다."
"재생" "『심리』이미 경험하거나 학습한 정보를 다시 기억해 내는 일. ≒재현02(再現)「2」."
"재생" "『종교』신앙을 가져 새로운 삶을 시작함."
"재생" "『컴퓨터』동적 램을 사용하는 기억 장치에서 일정한 주기마다 램의 내용을 입력시키는 일. 동적 램은 모스(MOS) 축전지를 기억 소자로 사용하기 때문에 시간이 지나면 축전지에 저장되었던 전하가 방전되어 그 내용을 상실하게 되므로 재생이 필요하다."
"재생" "『컴퓨터』시아르티(CRT) 화면에 나타난 내용을 일정한 주기마다 반복하여 표시하는 일."
