"word" "definition"
"삼족" "부모, 형제, 처자를 통틀어 이르는 말."
"삼족" "아버지, 아들, 손자를 통틀어 이르는 말."
"삼족" "부계(父系), 모계(母系), 처계(妻系)를 통틀어 이르는 말."
