"word" "definition"
"올라-가다" "낮은 곳에서 높은 곳으로 또는 아래에서 위로 가다.   "
"올라-가다" "지방에서 중앙으로 가다."
"올라-가다" "지방 부서에서 중앙 부서로, 또는 하급 기관에서 상급 기관으로 자리를 옮기다."
"올라-가다" "남쪽에서 북쪽으로 가다."
"올라-가다" "물에서 뭍으로 옮겨 가다."
"올라-가다" "((‘하늘’, ‘하늘나라’ 따위와 함께 쓰여))‘죽다’를 비유적으로 이르는 말."
"올라-가다" "하급 기관의 서류 따위가 상급 기관에 제출되다."
"올라-가다" "기준이 되는 장소에서 다소 높아 보이는 방향으로 계속 멀어져 가다."
"올라-가다" "어떤 부류나 계통 따위의 흐름을 거슬러 근원지로 향하여 가다."
"올라-가다" "등급이나 직급 따위의 단계가 높아지다."
"올라-가다" "자질이나 수준 따위가 높아지다."
"올라-가다" "값이나 통계 수치, 온도, 물가가 높아지거나 커지다."
"올라-가다" "물의 흐름을 거슬러 위쪽으로 향하여 가다."
"올라-가다" "기세나 기운, 열정 따위가 점차 고조되다."
"올라-가다" "밑천이나 재산이 모두 없어지다."
"올라-가다" "높은 곳을 향하여 가다."
